reference_id	target_reference_id	source_file	source_work_key_if_known	reference_kind	matched_reference_text_short	normalized_journal_title	normalized_reference_key	volume	issue	year	page_range	author	article_title	inscription_or_topic_keywords	reference_confidence	needs_manual_bibliographic_cleanup	notes
jbrs-ref-0011	jbrs-target-0005	data/working/bibliography/bibtex_authority/raw_reference_to_bibtex.tsv:200		article_reference	Luce, Prayers, JBRS 1936, p. 135 fam-jbrs-publication sf-jbrs journalBurmaResearchSociety work-jbrs-publication journalBurmaResearchSociety 1936, p. 135 volume_page series_level_resolved series series_level_match high A…	Journal of the Burma Research Society	g h luce | 1936 | 1936 |  | 135 | luce prayers	1936		1936	135	G. H. Luce	Luce, Prayers		high	false	Raw JBRS repository hit retained for provenance.
jbrs-ref-0012	jbrs-target-0012	data/working/bibliography/bibtex_authority/raw_reference_to_bibtex.tsv:201		article_reference	Luce/U Pe Maung Tin, JBRS 10 (2), 1920, p. 67-74 (and corrected date in JBRS 22 (3), 1932, p. 151), Luce/U Pe Maung Tin, BBHC 1 (1), 1960, p. 1-28 fam-jbrs-publication sf-jbrs journalBurmaResearchSociety work-jbrs-publi…	Journal of the Burma Research Society	u pe maung tin | 1920 | 10 | 2 | 67 74 | luce	10	2	1920	67-74	U Pe Maung Tin	Luce/		high	false	Raw JBRS repository hit retained for provenance.
jbrs-ref-0013	jbrs-target-0001	data/working/bibliography/bibtex_authority/raw_reference_to_bibtex.tsv:202		article_reference	U Hswai, JBRS 48 (2), 1965, p. 67, no. 1 fam-jbrs-publication sf-jbrs journalBurmaResearchSociety work-jbrs-publication journalBurmaResearchSociety 1965, p. 67 volume_page series_level_resolved series series_level_match…	Journal of the Burma Research Society	 | 1965 | 48 | 2 | 67 | u hswai	48	2	1965	67		U Hswai		high	false	Raw JBRS repository hit retained for provenance.
jbrs-ref-0014	jbrs-target-0001	data/working/bibliography/bibtex_authority/raw_reference_to_bibtex.tsv:203		article_reference	U Hswai, JBRS 48 (2), 1965, p. 67, no. 12 fam-jbrs-publication sf-jbrs journalBurmaResearchSociety work-jbrs-publication journalBurmaResearchSociety 1965, p. 67 volume_page series_level_resolved series series_level_matc…	Journal of the Burma Research Society	 | 1965 | 48 | 2 | 67 | u hswai	48	2	1965	67		U Hswai		high	false	Raw JBRS repository hit retained for provenance.
jbrs-ref-0015	jbrs-target-0001	data/working/bibliography/bibtex_authority/raw_reference_to_bibtex.tsv:204		article_reference	U Hswai, JBRS 48 (2), 1965, p. 67, no. 2 fam-jbrs-publication sf-jbrs journalBurmaResearchSociety work-jbrs-publication journalBurmaResearchSociety 1965, p. 67 volume_page series_level_resolved series series_level_match…	Journal of the Burma Research Society	 | 1965 | 48 | 2 | 67 | u hswai	48	2	1965	67		U Hswai		high	false	Raw JBRS repository hit retained for provenance.
jbrs-ref-0016	jbrs-target-0001	data/working/bibliography/bibtex_authority/raw_reference_to_bibtex.tsv:205		article_reference	U Hswai, JBRS 48 (2), 1965, p. 67, no. 3 fam-jbrs-publication sf-jbrs journalBurmaResearchSociety work-jbrs-publication journalBurmaResearchSociety 1965, p. 67 volume_page series_level_resolved series series_level_match…	Journal of the Burma Research Society	 | 1965 | 48 | 2 | 67 | u hswai	48	2	1965	67		U Hswai		high	false	Raw JBRS repository hit retained for provenance.
jbrs-ref-0017	jbrs-target-0001	data/working/bibliography/bibtex_authority/raw_reference_to_bibtex.tsv:206		article_reference	U Hswai, JBRS 48 (2), 1965, p. 67, no. 4 fam-jbrs-publication sf-jbrs journalBurmaResearchSociety work-jbrs-publication journalBurmaResearchSociety 1965, p. 67 volume_page series_level_resolved series series_level_match…	Journal of the Burma Research Society	 | 1965 | 48 | 2 | 67 | u hswai	48	2	1965	67		U Hswai		high	false	Raw JBRS repository hit retained for provenance.
jbrs-ref-0018	jbrs-target-0001	data/working/bibliography/bibtex_authority/raw_reference_to_bibtex.tsv:207		article_reference	U Hswai, JBRS 48 (2), 1965, p. 67, no. 5 fam-jbrs-publication sf-jbrs journalBurmaResearchSociety work-jbrs-publication journalBurmaResearchSociety 1965, p. 67 volume_page series_level_resolved series series_level_match…	Journal of the Burma Research Society	 | 1965 | 48 | 2 | 67 | u hswai	48	2	1965	67		U Hswai		high	false	Raw JBRS repository hit retained for provenance.
jbrs-ref-0019	jbrs-target-0001	data/working/bibliography/bibtex_authority/raw_reference_to_bibtex.tsv:208		article_reference	U Hswai, JBRS 48 (2), 1965, p. 67, no. 6 fam-jbrs-publication sf-jbrs journalBurmaResearchSociety work-jbrs-publication journalBurmaResearchSociety 1965, p. 67 volume_page series_level_resolved series series_level_match…	Journal of the Burma Research Society	 | 1965 | 48 | 2 | 67 | u hswai	48	2	1965	67		U Hswai		high	false	Raw JBRS repository hit retained for provenance.
jbrs-ref-0020	jbrs-target-0001	data/working/bibliography/bibtex_authority/raw_reference_to_bibtex.tsv:209		article_reference	U Hswai, JBRS 48 (2), 1965, p. 67, no. 7 fam-jbrs-publication sf-jbrs journalBurmaResearchSociety work-jbrs-publication journalBurmaResearchSociety 1965, p. 67 volume_page series_level_resolved series series_level_match…	Journal of the Burma Research Society	 | 1965 | 48 | 2 | 67 | u hswai	48	2	1965	67		U Hswai		high	false	Raw JBRS repository hit retained for provenance.
jbrs-ref-0021	jbrs-target-0001	data/working/bibliography/bibtex_authority/raw_reference_to_bibtex.tsv:210		article_reference	U Hswai, JBRS 48 (2), 1965, p. 67, no. 8 fam-jbrs-publication sf-jbrs journalBurmaResearchSociety work-jbrs-publication journalBurmaResearchSociety 1965, p. 67 volume_page series_level_resolved series series_level_match…	Journal of the Burma Research Society	 | 1965 | 48 | 2 | 67 | u hswai	48	2	1965	67		U Hswai		high	false	Raw JBRS repository hit retained for provenance.
jbrs-ref-0022	jbrs-target-0001	data/working/bibliography/bibtex_authority/raw_reference_to_bibtex.tsv:211		article_reference	U Hswai, JBRS 48 (2), 1965, p. 67, no. 9 fam-jbrs-publication sf-jbrs journalBurmaResearchSociety work-jbrs-publication journalBurmaResearchSociety 1965, p. 67 volume_page series_level_resolved series series_level_match…	Journal of the Burma Research Society	 | 1965 | 48 | 2 | 67 | u hswai	48	2	1965	67		U Hswai		high	false	Raw JBRS repository hit retained for provenance.
jbrs-ref-0023		data/working/bibliography/bibtex_authority/raw_reference_to_bibtex.tsv:212		bibliography_family_marker	U Lu Pe Win, OBEP – A Radical Review, in JBRS fam-jbrs-publication sf-jbrs journalBurmaResearchSociety work-jbrs-publication journalBurmaResearchSociety U Lu Pe Win, OBEP – A Radical Review, in JBRS unclear series_level…	Journal of the Burma Research Society	 |  |  |  |  | 								low	false	Raw JBRS repository hit retained for provenance.
jbrs-ref-0024	jbrs-target-0009	data/working/bibliography/bibtex_authority/raw_reference_to_bibtex.tsv:213		article_reference	U Than Tun, Buddhism, JBRS 1978, p. 130-3 fam-jbrs-publication sf-jbrs journalBurmaResearchSociety work-jbrs-publication journalBurmaResearchSociety 1978, p. 130-3 volume_page series_level_resolved series series_level_m…	Journal of the Burma Research Society	than tun | 1978 | 1978 |  | 130 3 | u buddhism	1978		1978	130-3	Than Tun	U , Buddhism		high	false	Raw JBRS repository hit retained for provenance.
jbrs-ref-0025	jbrs-target-0008	data/working/bibliography/bibtex_authority/raw_reference_to_bibtex.tsv:214		article_reference	U Than Tun, JBRS 1959, p. 77-79 fam-jbrs-publication sf-jbrs journalBurmaResearchSociety work-jbrs-publication journalBurmaResearchSociety 1959, p. 77-79 volume_page series_level_resolved series series_level_match high…	Journal of the Burma Research Society	than tun | 1959 | 1959 |  | 77 79 | u	1959		1959	77-79	Than Tun	U		high	false	Raw JBRS repository hit retained for provenance.
jbrs-ref-0026	jbrs-target-0006	data/working/bibliography/bibtex_authority/raw_reference_to_bibtex.tsv:215		article_reference	U Than Tun, JBRS 1976, p. 135-7, Luce, ELEB, JBRS 1940, p. 327-8 fam-jbrs-publication sf-jbrs journalBurmaResearchSociety work-jbrs-publication journalBurmaResearchSociety 1976, p. 135-7 volume_page series_level_resolve…	Journal of the Burma Research Society	g h luce | 1976 | 1976 |  | 135 7 | u than tun	1976		1976	135-7	G. H. Luce	U Than Tun		high	false	Raw JBRS repository hit retained for provenance.
jbrs-ref-0027	jbrs-target-0010	data/working/bibliography/bibtex_authority/raw_reference_to_bibtex.tsv:216		article_reference	U Than Tun, JBRS 1978, p. 140 fam-jbrs-publication sf-jbrs journalBurmaResearchSociety work-jbrs-publication journalBurmaResearchSociety 1978, p. 140 volume_page series_level_resolved series series_level_match high Arti…	Journal of the Burma Research Society	than tun | 1978 | 1978 |  | 140 | u	1978		1978	140	Than Tun	U		high	false	Raw JBRS repository hit retained for provenance.
jbrs-ref-0028	jbrs-target-0011	data/working/bibliography/bibtex_authority/raw_reference_to_bibtex.tsv:217		article_reference	U Than Tun, JBRS 1978, p. 15 fam-jbrs-publication sf-jbrs journalBurmaResearchSociety work-jbrs-publication journalBurmaResearchSociety 1978, p. 15 volume_page series_level_resolved series series_level_match high Articl…	Journal of the Burma Research Society	than tun | 1978 | 1978 |  | 15 | u	1978		1978	15	Than Tun	U		high	false	Raw JBRS repository hit retained for provenance.
jbrs-ref-0029	jbrs-target-0007	data/working/bibliography/bibtex_authority/raw_reference_to_bibtex.tsv:218		article_reference	U Than Tun, Religious Buildings, JBRS 1959, p. 74-5 fam-jbrs-publication sf-jbrs journalBurmaResearchSociety work-jbrs-publication journalBurmaResearchSociety 1959, p. 74-5 volume_page series_level_resolved series serie…	Journal of the Burma Research Society	than tun | 1959 | 1959 |  | 74 5 | u religious buildings	1959		1959	74-5	Than Tun	U , Religious Buildings		high	false	Raw JBRS repository hit retained for provenance.
jbrs-ref-0030	jbrs-target-0013	data/working/bibliography/bibtex_authority/raw_reference_to_bibtex.tsv:1406		article_reference	PPA, p. 221 (partly transl. U Pe Maung Tin, JBRS 25, 1935, p. 159) fam-ppa-catalogue sf-ppa ppaCatalogue work-ppa-catalogue ppaCatalogue 1935, p. 159 volume_page source_family_resolved source_family source_family_match…	Journal of the Burma Research Society	u pe maung tin | 1935 | 25 |  | 221 | ppa partly transl	25		1935	221	U Pe Maung Tin	PPA, (partly transl		high	false	Raw JBRS repository hit retained for provenance.
jbrs-ref-0031		data/working/bibliography/translation_source_discovery_plan.tsv:10		article_reference	journalBurmaResearchSociety Journal of the Burma Research Society sf-jbrs periodical unknown unknown low medium JBRS is a series container rather than an identified article witness. Defer to later article-level discover…	Journal of the Burma Research Society	 |  | i |  |  | container itself	i					container itself	translation	medium	false	Raw JBRS repository hit retained for provenance.
jbrs-ref-0032		data/working/bibliography/local_sources/ocr_outputs/ocr_text_index.tsv:4		article_reference	"centuryofprogress_luce1948-f1e3355883ba CenturyOfProgress_Luce1948.pdf pdftoppm+google-vision 16 line 711 line 713 explicit definition context ""48. Journal of the Burma Research Society (JBRS). From 1911. Rangoon, Unive…"	Journal of the Burma Research Society	g h luce | 1911 | m |  |  | 	m		1911		G. H. Luce		ava	medium	false	Raw JBRS repository hit retained for provenance.
jbrs-ref-0033		data/working/bibliography/local_sources/ocr_outputs/ocr_text_index.tsv:5		article_reference	"centuryofprogress_luce1948-f1e3355883ba CenturyOfProgress_Luce1948.pdf pdftoppm+google-vision 16 line 713 line 715 explicit definition context ""49. J.A, Stewart -""""Excavation and Exploration in Pegu"""". (JBRS) Vol. VII,…"	Journal of the Burma Research Society	g h luce | 1917 | m | 1 | 18 26 | 	m	1	1917	18-26	G. H. Luce		ava	high	false	Raw JBRS repository hit retained for provenance.
jbrs-ref-0034		docs/phase2_bibtex_authority.md:13		article_reference	- **Raw reference string**: the literal string extracted from a corpus record, such as `OBI 3, p. 2` or `Luce, Myanmar's Debt, JBRS 1932, p. 125`.	Journal of the Burma Research Society	g h luce | 1932 | 1932 |  | 2 | raw reference string the literal string extracted from a corpus record such as obi 3 or luce myanmar s debt	1932		1932	2	G. H. Luce	**Raw reference string**: the literal string extracted from a corpus record, such as `OBI 3, ` or `Luce, Myanmar's Debt		high	false	Raw JBRS repository hit retained for provenance.
jbrs-ref-0035		docs/phase2_bibtex_authority.md:16		periodical_authority_record	- **Source-family authority**: a normalized abbreviation, catalogue family, periodical family, or internal reference system such as `List`, `OBI`, `Pl.`, `RDASB`, or `JBRS`.	Journal of the Burma Research Society	 |  |  |  |  | 								low	false	Raw JBRS repository hit retained for provenance.
jbrs-ref-0036		docs/phase2_bibtex_authority.md:71		unclear	Manual acronym seeds now live in `manual_acronym_seeds.tsv`. They record expert identifications such as `EB`, `JBRS`, `JRAS`, and `OBI` without pretending that a documentary source has already been found. In `acronym_re…	Journal of the Burma Research Society	 |  |  |  |  | 								low	true	Raw JBRS repository hit retained for provenance.
jbrs-ref-0037		docs/phase2_bibtex_authority.md:229		metadata_fragment	- series- and periodical-level authorities such as `JBRS`, `JRAS`, `BBHC`, `ARASI`, and `Epigraphia Birmanica` can remain publication-like authorities without pretending to be article-level records;	Journal of the Burma Research Society	 |  |  |  |  | 								low	false	Raw JBRS repository hit retained for provenance.
jbrs-ref-0038		docs/phase2_bibtex_authority.md:291		metadata_fragment	Use these rows to confirm or keep provisional expansions for abbreviations such as `A`, `B`, `MP`, `UB`, `PPA`, `TN`, `IPPA`, `UEM`, `SIP`, `MM`, `OR`, `Pl.`, `ARASI`, `Luce D`, `Luce J`, `JBRS`, and `JRAS`.	Journal of the Burma Research Society	 |  |  |  |  | 								low	false	Raw JBRS repository hit retained for provenance.
jbrs-ref-0039		data/working/bibliography/translation_source_discovery/epigraphia_birmanica_witness_review.tsv:5		local_file_metadata	epigraphiaBirmanica--011041-2bc89eb3a71a 011041.pdf epigraphiaBirmanica OBI_LIBRARY_ROOT:Thematic/Burmese/Burma JBRS/1911/011041.pdf | OBI_LIBRARY_ROOT:Thematic/Burmese/Burma JBRS/1911/ElementaryLahooAkaWa_Antisdel-1911…	Journal of the Burma Research Society	 | 1911 |  |  |  | 			1911				burmese	low	false	Raw JBRS repository hit retained for provenance.
jbrs-ref-0040		data/working/bibliography/translation_source_discovery/epigraphia_birmanica_witness_review.tsv:6		local_file_metadata	epigraphiaBirmanica--011098-dfc0debb3b75 011098.pdf epigraphiaBirmanica OBI_LIBRARY_ROOT:Thematic/Burmese/Burma JBRS/1911/011098.pdf | OBI_LIBRARY_ROOT:Thematic/Burmese/Burma JBRS/JBRS Originals/011098.pdf false false f…	Journal of the Burma Research Society	 | 1911 |  |  |  | 			1911				burmese	low	false	Raw JBRS repository hit retained for provenance.
jbrs-ref-0041		data/working/bibliography/translation_source_discovery/epigraphia_birmanica_witness_review.tsv:7		local_file_metadata	epigraphiaBirmanica--011131-b5499d8eb174 011131.pdf epigraphiaBirmanica OBI_LIBRARY_ROOT:Thematic/Burmese/Burma JBRS/1911/011131.pdf | OBI_LIBRARY_ROOT:Thematic/Burmese/Burma JBRS/JBRS Originals/011131.pdf false false f…	Journal of the Burma Research Society	 | 1911 |  |  |  | 			1911				burmese	low	false	Raw JBRS repository hit retained for provenance.
jbrs-ref-0042		data/working/bibliography/translation_source_discovery/epigraphia_birmanica_witness_review.tsv:9		article_reference	epigraphiaBirmanica--luce-1937-ancient-pyu-6a948eb3f6cc Luce 1937 Ancient Pyu.pdf epigraphiaBirmanica OBI_AUTHOR_ALPHA_ROOT:Luce/Luce 1937 Ancient Pyu.pdf | OBI_LIBRARY_ROOT:Authors alphabetical/Luce/Luce 1937 Ancient P…	Journal of the Burma Research Society	g h luce | 1937 |  |  |  | 			1937		G. H. Luce		burmese; pyu	medium	false	Raw JBRS repository hit retained for provenance.
jbrs-ref-0043		data/working/bibliography/translation_source_discovery/epigraphia_birmanica_witness_review.tsv:10		article_reference	epigraphiaBirmanica--261052-0eaebe68d937 PeMaungTin 1936 BuddhismInTheInscriptionsOfPagan.pdf epigraphiaBirmanica OBI_AUTHOR_ALPHA_ROOT:Pe Maung Tin/PeMaungTin 1936 BuddhismInTheInscriptionsOfPagan.pdf | OBI_LIBRARY_ROO…	Journal of the Burma Research Society	u pe maung tin | 1936 |  |  |  | 			1936		U Pe Maung Tin		inscription; pagan; burmese	medium	false	Raw JBRS repository hit retained for provenance.
jbrs-ref-0044		data/working/bibliography/translation_source_discovery/inscriptions_of_burma_text_volume_hunt.tsv:9		article_reference	Luce Pe Maung Tin Portfolio I 111029.pdf 111029-f93adf2c3a6c normalized_title_filename medium OBI_LIBRARY_ROOT:Thematic/Burmese/Burma JBRS/1921/ChroniclleTagaung_PeMaungTinLuce1921.pdf | OBI_LIBRARY_ROOT:Thematic/Burmes…	Journal of the Burma Research Society	u pe maung tin | 1921 |  |  |  | 			1921		U Pe Maung Tin		inscription; burmese	medium	false	Raw JBRS repository hit retained for provenance.
jbrs-ref-0045		data/working/bibliography/translation_source_discovery/inscriptions_of_burma_text_volume_hunt.tsv:10		article_reference	Luce Pe Maung Tin Portfolio II 111029.pdf 111029-f93adf2c3a6c normalized_title_filename medium OBI_LIBRARY_ROOT:Thematic/Burmese/Burma JBRS/1921/ChroniclleTagaung_PeMaungTinLuce1921.pdf | OBI_LIBRARY_ROOT:Thematic/Burme…	Journal of the Burma Research Society	u pe maung tin | 1921 |  |  |  | 			1921		U Pe Maung Tin		inscription; burmese	medium	false	Raw JBRS repository hit retained for provenance.
jbrs-ref-0046		data/working/bibliography/translation_source_discovery/missing_core_witness_hunt.tsv:4		article_reference	uemSelectionsPagan E Maung author_name 031070.pdf 031070-d0d3df8f0935 exact_title_filename high OBI_LIBRARY_ROOT:Thematic/Burmese/Burma JBRS/1913/CaveSculpture-MaungGyi1913.pdf | OBI_LIBRARY_ROOT:Thematic/Burmese/Burma…	Journal of the Burma Research Society	u e maung | 1913 |  |  |  | 			1913		U E Maung		pagan; burmese	medium	false	Raw JBRS repository hit retained for provenance.
jbrs-ref-0047		data/working/bibliography/translation_source_discovery/missing_core_witness_hunt.tsv:6		article_reference	uemSelectionsPagan U E Maung Pagan title_variant 223151.pdf 223151-c159fe6459f2 normalized_title_filename medium OBI_LIBRARY_ROOT:Thematic/Burmese/Burma JBRS/1932/SakaEraPagan-PeMaungTin1932.pdf | OBI_LIBRARY_ROOT:Thema…	Journal of the Burma Research Society	u pe maung tin | 1932 |  |  |  | 			1932		U Pe Maung Tin		pagan; burmese	medium	false	Raw JBRS repository hit retained for provenance.
jbrs-ref-0048		data/working/bibliography/translation_source_discovery/missing_core_witness_hunt.tsv:7		article_reference	uemSelectionsPagan U E Maung inscriptions title_variant 201033.pdf 201033-5a49239473a4 normalized_title_filename medium OBI_LIBRARY_ROOT:Thematic/Burmese/Burma JBRS/1930/PeMaungTin-1930-OldWordsinInscriptions.pdf | OBI_…	Journal of the Burma Research Society	u pe maung tin | 1930 |  |  |  | 			1930		U Pe Maung Tin		inscription; pagan; burmese	medium	false	Raw JBRS repository hit retained for provenance.
jbrs-ref-0049		data/working/bibliography/translation_source_discovery/missing_core_witness_hunt.tsv:33		local_file_metadata	ubSourceFamily Upper Burma Stone Inscriptions title_variant StoneInscriptionsSale-Swere1965.pdf stoneinscriptionssale_swere1965-1c981765c5c3 normalized_title_filename medium OBI_LIBRARY_ROOT:Thematic/Burmese/Burma JBRS/…	Journal of the Burma Research Society	 | 1965 |  |  |  | 			1965				inscription; burmese	low	false	Raw JBRS repository hit retained for provenance.
jbrs-ref-0050	jbrs-target-0003	data/working/bibliography/translation_source_discovery/periodical_article_discovery_plan.tsv:2		article_reference	journalBurmaResearchSociety Journal of the Burma Research Society sf-jbrs Duroiselle, JBRS 6.2, 1916, p. 88 | Luce, Myanmar's Debt, JBRS 1932, p. 125 | Luce, Prayers, JBRS 1936, p. 135 | Luce/U Pe Maung Tin, JBRS 10 (2)…	Journal of the Burma Research Society	charles duroiselle | 1916 | d |  | 88 | 	D		1916	88	Charles Duroiselle		pagan	high	false	Raw JBRS repository hit retained for provenance.
jbrs-ref-0051		data/working/bibliography/translation_source_discovery/rescue_candidate_review.tsv:2		article_reference	111029-f93adf2c3a6c 111029.pdf Luce Pe Maung Tin Selections sipSelectionsPagan;uemSelectionsPagan OBI_LIBRARY_ROOT:Thematic/Burmese/Burma JBRS/1921/ChroniclleTagaung_PeMaungTinLuce1921.pdf | OBI_LIBRARY_ROOT:Thematic/Bu…	Journal of the Burma Research Society	u pe maung tin | 1921 |  |  |  | 			1921		U Pe Maung Tin		pagan; burmese	medium	false	Raw JBRS repository hit retained for provenance.
jbrs-ref-0052		data/working/bibliography/translation_source_discovery/uem_direct_witness_search.tsv:10		article_reference	Maung Selections Inscriptions Pagan PeMaungTin 1935 WomenInTheInscriptionsOfPagan.pdf 253149-88495e2fcca1 normalized_title_filename medium OBI_AUTHOR_ALPHA_ROOT:Pe Maung Tin/PeMaungTin 1935 WomenInTheInscriptionsOfPagan…	Journal of the Burma Research Society	u pe maung tin | 1935 |  |  |  | 			1935		U Pe Maung Tin		inscription; pagan; burmese	medium	false	Raw JBRS repository hit retained for provenance.
jbrs-ref-0053		data/working/bibliography/translation_source_discovery/witness_candidates.tsv:23		article_reference	journalBurmaResearchSociety--luce-1924-countries-neighbouring-burma-j-056f581dfe61 journalBurmaResearchSociety Journal of the Burma Research Society Luce 1924 Countries Neighbouring Burma (JBRS).pdf luce_1924_countries_…	Journal of the Burma Research Society	g h luce | 1924 | l |  |  | 	L		1924		G. H. Luce		ava	medium	false	Raw JBRS repository hit retained for provenance.
jbrs-ref-0054		data/working/bibliography/translation_source_discovery/witness_candidates.tsv:24		local_file_metadata	journalBurmaResearchSociety--a1-editorial-luce1924-099d53582376 journalBurmaResearchSociety Journal of the Burma Research Society A1-Editorial-Luce1924.pdf a1_editorial_luce1924-099d53582376 data/local/bibliography_sour…	Journal of the Burma Research Society	 |  |  |  |  | 							ava	low	false	Raw JBRS repository hit retained for provenance.
jbrs-ref-0055		data/working/bibliography/translation_source_discovery/witness_candidates.tsv:25		local_file_metadata	journalBurmaResearchSociety--a5-countriesneighbouringburma2-luce-ref-c1353abdc155 journalBurmaResearchSociety Journal of the Burma Research Society A5-CountriesNeighbouringBurma2-Luce-ref-Pelliot1924.pdf a5_countriesnei…	Journal of the Burma Research Society	 |  |  |  |  | 							ava	low	false	Raw JBRS repository hit retained for provenance.
jbrs-ref-0056		data/working/bibliography/translation_source_discovery/witness_candidates.tsv:26		local_file_metadata	journalBurmaResearchSociety--burmatofallofpagan-luce1939-b89e7b3d7dc1 journalBurmaResearchSociety Journal of the Burma Research Society BurmaToFallOfPagan-Luce1939.pdf burmatofallofpagan_luce1939-b89e7b3d7dc1 data/local…	Journal of the Burma Research Society	 |  |  |  |  | 							pagan; ava	low	false	Raw JBRS repository hit retained for provenance.
jbrs-ref-0057		data/working/bibliography/translation_source_discovery/witness_candidates.tsv:27		article_reference	journalBurmaResearchSociety--centuryofprogress-luce1948-f1e3355883ba journalBurmaResearchSociety Journal of the Burma Research Society CenturyOfProgress_Luce1948.pdf centuryofprogress_luce1948-f1e3355883ba data/local/bi…	Journal of the Burma Research Society	g h luce |  | c |  |  | 	C				G. H. Luce		ava	medium	false	Raw JBRS repository hit retained for provenance.
jbrs-ref-0058		data/working/bibliography/translation_source_discovery/witness_classification.tsv:23		article_reference	journalBurmaResearchSociety--luce-1924-countries-neighbouring-burma-j-056f581dfe61 journalBurmaResearchSociety Journal of the Burma Research Society Luce 1924 Countries Neighbouring Burma (JBRS).pdf article_candidate un…	Journal of the Burma Research Society	g h luce | 1924 | l |  |  | 	L		1924		G. H. Luce		translation	medium	false	Raw JBRS repository hit retained for provenance.
jbrs-ref-0059		data/working/bibliography/translation_source_discovery/witness_classification.tsv:24		article_reference	journalBurmaResearchSociety--a1-editorial-luce1924-099d53582376 journalBurmaResearchSociety Journal of the Burma Research Society A1-Editorial-Luce1924.pdf article_candidate unknown unknown unknown no possible unknown m…	Journal of the Burma Research Society	g h luce |  | xiv | ii |  | 	XIV	II			G. H. Luce		translation	medium	false	Raw JBRS repository hit retained for provenance.
jbrs-ref-0060		data/working/bibliography/translation_source_discovery/witness_classification.tsv:25		local_file_metadata	journalBurmaResearchSociety--a5-countriesneighbouringburma2-luce-ref-c1353abdc155 journalBurmaResearchSociety Journal of the Burma Research Society A5-CountriesNeighbouringBurma2-Luce-ref-Pelliot1924.pdf article_candida…	Journal of the Burma Research Society	 |  |  |  |  | 							translation	low	false	Raw JBRS repository hit retained for provenance.
