linked_corpus_record_id	linked_inscription_id	title_or_label	tn_locator	source_locator	translation_status	translation_length_chars	translation_text_snippet	link_basis	confidence	needs_human_review	notes
obi-v01-n0027-ob-p0048	obi-v01-n0027	ပုဂံပြတိုက် ကျောက်တိုင်အမှတ် ၁၂	TN 79	TN 79 (Plate XIII; OCR pages 92)	published_partial_translation	2078	This inscription is erected by King Alaungsithu , who was full of wisdom and prudence; who was a seeker after omniscience and Nirvana; who was a devotee of the three 'Gems;' whose glory is as resplendent and whose power 	High-confidence IOB concordance link (Plate XIII, TN 79) to obi-v01-n0027-ob-p0048; extracted from tracked TN OCR pages.	high	false	version_label=TN locator TN 79; source_iob_plate=Plate XIII; extracted from data/working/ocr/pagan_pinya_ava_1899/ocr_cleaned_text_light.txt.
obi-v01-n0130-ob-p0211	obi-v01-n0130	သိခင် ငစွယ်သင် ကျောက်စာ	TN 82-83	TN 82-83 (Plate LXII; OCR pages 95, 96)	published_partial_translation	990	No. (8). Locality. Within the walls of the Shinbinbawdi pagoda, on the east- ern side. Date. 589 Sakkarâj (1227 A.D.). Founder. One of the Ministers of Zeyatheinka. Substance of inscription.-Dedication to pagoda of slave	High-confidence IOB concordance link (Plate LXII, TN 82-83) to obi-v01-n0130-ob-p0211; extracted from tracked TN OCR pages.	high	false	version_label=TN locator TN 82-83; source_iob_plate=Plate LXII; extracted from data/working/ocr/pagan_pinya_ava_1899/ocr_cleaned_text_light.txt.
obi-v01-n0161-ob-p0270	obi-v01-n0161	ငမျင်ခင် ည္အ်စ်ကိုကျောက်စာ	TN 84	TN 84 (Plate LXXXVIII; OCR pages 97)	published_partial_translation	969	No. (11). (five lines). Locality. Within the walls of the Shinbinbawdi pagoda, on the east- ern side. Date. 593 Sakkaraj (1231 A.D.). Founders.-Nga Myin Kin, Nga Myin Do, and their aunt. Substance of inscription.-Buildin	High-confidence IOB concordance link (Plate LXXXVIII, TN 84) to obi-v01-n0161-ob-p0270; extracted from tracked TN OCR pages.	high	false	version_label=TN locator TN 84; source_iob_plate=Plate LXXXVIII; extracted from data/working/ocr/pagan_pinya_ava_1899/ocr_cleaned_text_light.txt.
obi-v01-n0154-ob-p0257	obi-v01-n0154	မင်းဆရာ ပိတရစ် ကျောက်စာ	TN 84 85	TN 84 85 (Plate LXXXV; OCR pages 97, 98)	published_partial_translation	1907	No. (12). Locality. Within the walls of the Shinbinbawdi pagoda, on the east- ern side. Date. 597 Sakkarâj (1235 A.D.). Founder. Monk Pitarit.* Substance of inscription.-Dedication of slaves, cattle, land, money, and ute	High-confidence IOB concordance link (Plate LXXXV, TN 84 85) to obi-v01-n0154-ob-p0257; extracted from tracked TN OCR pages.	high	false	version_label=TN locator TN 84 85; source_iob_plate=Plate LXXXV; extracted from data/working/ocr/pagan_pinya_ava_1899/ocr_cleaned_text_light.txt.
obi-v01-n0178-tx-p0305	obi-v01-n0178	ငါဆုသင် မောင်နှံ ကျောက်စာ	TN 85 86	TN 85 86 (Plate CI; OCR pages 98, 99)	published_partial_translation	1189	No. (13). Locality. Within the walls of the Shinbinbawdi pagoda, on the east- ern side. Date. 599 Sakkarâj (1237 A.D.). Founders. Nga Pyi Thin and wife. Substance of inscription.-Dedication of pagoda slaves. ON Wednesday	High-confidence IOB concordance link (Plate CI, TN 85 86) to obi-v01-n0178-tx-p0305; extracted from tracked TN OCR pages.	high	false	version_label=TN locator TN 85 86; source_iob_plate=Plate CI; extracted from data/working/ocr/pagan_pinya_ava_1899/ocr_cleaned_text_light.txt.
obi-v01-n0142-tx-p0238	obi-v01-n0142	လေးမျက်နှာဘုရားကျောက်စာရုံအမှတ် ၃ ကျောက်စာ	TN 105	TN 105 (Plate LXXVII; OCR pages 118)	published_partial_translation	1134	No. (6). Locality. On the northern pillar within the inscription cave near the Lemyethna pagoda. Date.--588 Sakkarâj (1226 A.D.). Substance of inscription.-Apparently, dedication of slaves to the Lemyethna pagoda. THIRTY	High-confidence IOB concordance link (Plate LXXVII, TN 105) to obi-v01-n0142-tx-p0238; extracted from tracked TN OCR pages.	high	false	version_label=TN locator TN 105; source_iob_plate=Plate LXXVII; extracted from data/working/ocr/pagan_pinya_ava_1899/ocr_cleaned_text_light.txt.
obi-v01-n0128-ob-p0208	obi-v01-n0128	ကြံသိုင်းကြီးသမီး သမန္တသူမယား ကျောက်စာ	TN 107	TN 107 (Plate LXXXIII; OCR pages 120)	published_partial_translation	717	By virtue of this offering may I always be free from want. As a man may I be rewarded with the happiness of a Çakravatin, and as a nat with that of the king of nats. When the next Buddha Metteyya comes, may I without any	High-confidence IOB concordance link (Plate LXXXIII, TN 107) to obi-v01-n0128-ob-p0208; extracted from tracked TN OCR pages.	high	false	version_label=TN locator TN 107; source_iob_plate=Plate LXXXIII; extracted from data/working/ocr/pagan_pinya_ava_1899/ocr_cleaned_text_light.txt.
obi-v01-n0143-ob-p0240	obi-v01-n0143	ရာဇ မဟာမင်္ဂလပတိယ် ကျောက်စာ	TN 107-108	TN 107-108 (Plate LXVIII; OCR pages 120, 121)	published_partial_translation	930	No. (9). Locality.—In the inscription cave attached to the Lemyethna pagoda. Date. 591 Sakkarâj (1229 A.D.). Founder. Thamantathu's wife. Substance of inscription.-Building of cave and image and dedi- cation thereto of s	High-confidence IOB concordance link (Plate LXVIII, TN 107-108) to obi-v01-n0143-ob-p0240; extracted from tracked TN OCR pages.	high	false	version_label=TN locator TN 107-108; source_iob_plate=Plate LXVIII; extracted from data/working/ocr/pagan_pinya_ava_1899/ocr_cleaned_text_light.txt.
obi-v01-n0057-ob-p0091	obi-v01-n0057	ကြံသိုင်းမယား ကျောက်စာ	TN 27-28	TN 27-28 (Plate L; OCR pages 40, 41)	published_partial_translation	2354	No. (2). Locality. Within the group of pagodas on the west bank of the stream. Date. 552 Sakkarâj (1190 A.D.). Founder-Wife of Kyan Thaing.* Substance of inscription.-Dedication of paddy lands and slaves. IN accordance w	High-confidence IOB concordance link (Plate L, TN 27-28) to obi-v01-n0057-ob-p0091; extracted from tracked TN OCR pages.	high	false	version_label=TN locator TN 27-28; source_iob_plate=Plate L; extracted from data/working/ocr/pagan_pinya_ava_1899/ocr_cleaned_text_light.txt.
obi-v01-n0169-ob-p0287	obi-v01-n0169	မင်းရာဇသူသမီး စေယျသူဌေးမယား ကျောက်စာ	TN 28-29	TN 28-29 (Plate XCIII; OCR pages 41, 42)	published_partial_translation	2373	No. (4). Locality. On the south side of a road which is about 200 feet from the two Kunsaw pagodas on the west bank of the Wetkyi- in stream. Date. 592 Sakkarâj (1230 A.D.). Founder. Banker Minyazathuyanzeya.” * Substanc	High-confidence IOB concordance link (Plate XCIII, TN 28-29) to obi-v01-n0169-ob-p0287; extracted from tracked TN OCR pages.	high	false	version_label=TN locator TN 28-29; source_iob_plate=Plate XCIII; extracted from data/working/ocr/pagan_pinya_ava_1899/ocr_cleaned_text_light.txt.
obi-v01-n0095-re-p0142	obi-v01-n0095	ကြံသိုင်းကြီးသမီးကျောက်စာ	TN 28	TN 28 (Plate LI; OCR pages 41)	published_partial_translation	1034	No. (3). Locality. Within the group of monasteries on the west bank of the stream. Date. 585 Sakkaraj (1223 A.D.). Founder. Daughter of Kyan Thaing. Substance of inscription.-Dedication of paddy lands and slaves. HAVING 	High-confidence IOB concordance link (Plate LI, TN 28) to obi-v01-n0095-re-p0142; extracted from tracked TN OCR pages.	high	false	version_label=TN locator TN 28; source_iob_plate=Plate LI; extracted from data/working/ocr/pagan_pinya_ava_1899/ocr_cleaned_text_light.txt.
obi-v01-n0148-ob-p0249	obi-v01-n0148	သူဌေးမုခ်ဂူဘုရားကျောက်စာ	TN 6	TN 6 (No. (12) segment; Plate LXXI / List 224 / PPA 17; OCR page 19)	published_partial_translation	392	No. (12). Locality. At the southern porch of the Thate-Môkku Pagoda. Date. 595 Sakkaraj (1233 A.D.). Substance of inscription.-Apparently dedication of lands and slaves to some pagoda or monastery. [A few words only in l	Manual TN page/image inspection of printed page 6 (OCR page 19) isolates No. (12) as a bounded segment; structured record obi-v01-n0148-ob-p0249 cites TN, p. 6 with List 224 / PPA 17 / IOB1-71 (Pl. I 71-72), matching date, locality, and inscription profile.	high	false	version_label=TN locator TN 6; subentry=No. (12) only; source_iob_plate=Plate LXXI; linked via TN p.6 / List 224 / PPA 17 / IOB1-71 concordance.
obi-v01-n0179-tx-p0306	obi-v01-n0179	အမတ် ညာဏပိစည်း ကျောက်စာ	TN 30	TN 30 | TN 86-87 (Plate CV a; OCR pages 43, 99, 100)	published_partial_translation	3247	No. (14). Locality. Within the walls of the Shinbinbawdi pagoda, on the southern side. Date. 599 Sakkaraj (1237 A.D.). Founder. Nyana Pyitsi. Substance of inscription.-Building of cave, monastery, and rest- house with we	High-confidence IOB concordance link (Plate CV a, TN 30 | TN 86-87) to obi-v01-n0179-tx-p0306; extracted from tracked TN OCR pages.	high	false	version_label=TN locator TN 30 | TN 86-87; source_iob_plate=Plate CV a; extracted from data/working/ocr/pagan_pinya_ava_1899/ocr_cleaned_text_light.txt.
obi-v01-n0129-tx-p0209	obi-v01-n0129	သိခင်မြင်းခုန်တိုင်ကျောက်စာ	TN 143	TN 143 (Plate XCVIII; OCR pages 156)	published_partial_translation	665	No. (6). Locality. Within the inscription cave attached to the Sudaungbye pagoda. Date. 691 Sakkaraj (1329 A.D.). Founder.—Monk Myingôndaing. Substance of inscription.—Dedication of land. ON Thursday, the 10th waning of 	High-confidence IOB concordance link (Plate XCVIII, TN 143) to obi-v01-n0129-tx-p0209; extracted from tracked TN OCR pages.	high	false	version_label=TN locator TN 143; source_iob_plate=Plate XCVIII; extracted from data/working/ocr/pagan_pinya_ava_1899/ocr_cleaned_text_light.txt.
obi-v01-n0052-ob-p0083	obi-v01-n0052	နားတောင်းများမင်းကြီးကျောက်စာ	TN 36-57	TN 36-57 (Plate XXXI, No. (1) obverse segment; OCR pages 49-70)	published_partial_translation	3135	"No. (1).—OBVERSE. Locality. Within the walls of the Kemawaya pagoda. Date 569 Sakkarâj (1207 A.D.). Founder. King Nandaungmya.† Substance of inscription.-Building of a monastery and library and dedication of lands. ""Reve"	Manual cross-witness segmentation of TN 36-57 isolates the Plate XXXI No. (1) obverse block (Kemawaya pagoda, CS 569, King Nandaungmya), matching obi-v01-n0052-ob-p0083 and SIP Plate XXXI linkage.	high	false	version_label=TN locator TN 36-57; subentry=No. (1) obverse only; source_iob_plate=Plate XXXI; cross_witness=SIP 29 / List 273(a) / PPA 109-111.
obi-v01-n0004-ob-p0011	obi-v01-n0004	ရွှေဂူကြီးဘုရားကျောက်စာ	TN 73-76	TN 73-76 (Plate I, No. (1) segment before No. (2); OCR pages 86-89)	published_partial_translation	7743	"No. (1).* Locality.—Close to the eastern wall of the Shwegugyi pagoda porch. Date.—503 Sakkarâj (1241 A.D.). Founder. King Alaungsithu.† Substance of inscription.—Building of the Shwegugyi pagoda. ""HONOUR and reverence t"	Targeted manual linkage: TN 73-76 contains Plate I No. (1) Shwegugyi translation block (Alaungsithu, CS 503), which aligns with List 66(a), PPA 159, and obi-v01-n0004-ob-p0011 references.	medium-high	false	version_label=TN locator TN 73-76; subentry=No. (1) only; source_iob_plate=Plate I; linked via List 66(a) / PPA 159 / TN p.73 concordance.
obi-v01-n0063-ob-p0099	obi-v01-n0063	သင်ကြီး ဓမ္မပါလ်ကျောက်စာ	TN 81	TN 81 (Plate XXXVII, No. (6) segment before No. (7); OCR page 94)	published_partial_translation	1007	No. (6). Locality. Within the walls of the Shinbinbawdi pagoda, on the south side. Date.—574 Sakkaråj (1212 A.D.). Founder. Thingyi Dhammapala-Dhanımathwè.* Substance of inscription.-Erection of pagoda, cave, and monaste	Targeted manual linkage: TN 81 No. (6) gives Thingyi Dhammapala (CS 574) and Shinbinbawdi context, matching List 175 / PPA 169 and obi-v01-n0063-ob-p0099.	medium-high	false	version_label=TN locator TN 81; subentry=No. (6) only; source_iob_plate=Plate XXXVII; linked via List 175 / PPA 169 / TN p.81 concordance.
