family_id	family_label	family_type	member_count	occurrence_count	sample_raw_references	likely_contains_translation	review_status	notes
fam-raw-arasi-1930-34	ARASI 1930-34, p. 190	unclear	1	2	ARASI 1930-34, p. 190	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-b-1	B 1, p. 420	unclear	2	2	B 1, p. 420 | B 1, p. 428	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-b-2-first-part	B 2, p. 665 (first part)	unclear	1	2	B 2, p. 665 (first part)	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-55-56	BA-55 & 56	unclear	1	2	BA-55 & 56	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-htupayon-2	Htupayon 2, p. 117	unclear	2	2	Htupayon 2, p. 117 | Htupayon 2, p. 183	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob3-319-c	IOB3-319/c	unclear	1	2	IOB3-319/c	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob4-456-a	IOB4-456/a	unclear	1	2	IOB4-456/a	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob5-542	IOB5-542	unclear	1	2	IOB5-542	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iub1-212	IUB1-212	unclear	1	2	IUB1-212	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-list-918	copy List 918	unclear	1	2	copy List 918	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-luce-d-809	Luce D 809	unclear	1	2	Luce D 809	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-luce-j-2667	Luce J 2667	unclear	1	2	Luce J 2667	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-picture-archdept-on-file	picture (ArchDept) on file	unclear	1	2	picture (ArchDept) on file	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-u-pe-maung-tin-the-myazedi-inscription-in-nava-rat-kui-svay-rangoon-1966	u pe maung tin the myazedi inscription in nava rat kui svay rangoon 1966	unclear	1	2	U Pe Maung Tin, The Myazedi Inscription, in Nava-…	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-u-tha-myat-the-pali-version-of-the-myazedi-inscription-rangoon-1958	U Tha Myat, The Pali Version of the Myazedi Inscription, Rangoon 1958	article	1	2	U Tha Myat, The Pali Version of the Myazedi Inscr…	yes	unreviewed	Kept as a narrow title-specific family because the reference may represent a translation-related work.
fam-raw-u-tin-lwin-rajakumar-s-inscription-in-pali-in-takkasuil-yangon-1989	U Tin Lwin, Rajakumar's Inscription in Pali, in Takkasuil ... (repr. Yangon 198…	article	1	2	U Tin Lwin, Rajakumar's Inscription in Pali, in T…	yes	unreviewed	Kept as a narrow title-specific family because the reference may represent a translation-related work.
fam-raw-12	12	unclear	1	1	12	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-17	17	unclear	1	1	17	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-184-bed-b-614-2	-184 BED B 614-2	unclear	1	1	-184 BED B 614-2	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-1936-37-4003-1938-39-4080	1936 37 4003 1938 39 4080	unclear	1	1	-1936-37/ 4003, 1938-39/ 4080	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-1958-59	1958-59	unclear	1	1	1958-59	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-1960	1960, p. 241	unclear	1	1	1960, p. 241	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-1962-63-bed-b-622-6	1962 63 bed b 622 6	unclear	1	1	1962-63 BED B 622-6	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-1963	1963,	unclear	1	1	1963,	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-1970-71	1970-71	unclear	1	1	1970-71	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-265	---265,	unclear	1	1	---265,	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-3	3 ,	unclear	1	1	3 ,	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-31-2-3	-31 . . . . . . 2 . . . . . . 3 . . . . . . . . .	unclear	1	1	-31 . . . . . . 2 . . . . . . 3 . . . . . . . . .	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-377	-377	unclear	1	1	-377	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-6	-6-,	unclear	1	1	-6-,	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-617	617	unclear	1	1	617	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-769	--769	unclear	1	1	--769	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-a-and-549	A, p. 97 and 549	unclear	1	1	A, p. 97 and 549	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-and-mm-4-said-to-come-from-sagaing	and mm 4 said to come from sagaing	unclear	1	1	and MM 4, no. 47, p. 214 (said to come from Sagai…	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-another-is-list-401	another copy is List 401	unclear	1	1	another copy is List 401	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-another-mm-3	another copy MM 3, no. 25, p. 107	unclear	1	1	another copy MM 3, no. 25, p. 107	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-arasi-1921-22-and-pl-19a	arasi 1921 22 and pl 19a	unclear	1	1	ARASI 1921-22, p. 35 and pl. 19a	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-arasi-1936-7-u-min-hswe	arasi 1936 7 u min hswe	unclear	1	1	ARASI 1936-7, p. 114, U Min Hswe, no. 11	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-aung-thwin-ceylonese-burmese-relations-jss-1976	aung thwin ceylonese burmese relations jss 1976	unclear	1	1	Aung-Thwin, Ceylonese-Burmese Relations, JSS 1976…	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-b-2-dated-cs-636-1274-and-list-453-second-inscr	b 2 dated cs 636 1274 and list 453 second inscr	unclear	1	1	B 2, p. 819 (dated CS 636/ 1274) and List 453 (se…	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-b-2-dated-cs-676-1314	b 2 dated cs 676 1314	unclear	1	1	B 2, p. 827 (dated CS 676/1314)	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-b-2-first-inscr	B 2, p. 819 (first inscr.)	unclear	1	1	B 2, p. 819 (first inscr.)	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-b-2-mm	B 2, p. 796 (MM)	unclear	1	1	B 2, p. 796 (MM)	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-b-28	/b+ 28	unclear	1	1	/b+ 28	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-1-9	BA 1, 9	unclear	1	1	BA 1, 9	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-10	BA-10	unclear	1	1	BA-10	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-101	BA-101	unclear	1	1	BA-101	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-103	BA-103	unclear	1	1	BA-103	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-105	BA-105	unclear	1	1	BA-105	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-106	BA-106,	unclear	1	1	BA-106,	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-107	BA 107	unclear	1	1	BA 107	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-109-157	BA-109, 157	unclear	1	1	BA-109, 157	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-11	BA-11	unclear	1	1	BA-11	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-110	BA-110	unclear	1	1	BA-110	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-111	BA-111	unclear	1	1	BA-111	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-112	BA 112	unclear	1	1	BA 112	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-113	BA-113,	unclear	1	1	BA-113,	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-114	BA-114	unclear	1	1	BA-114	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-115	BA-115	unclear	1	1	BA-115	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-116	BA-116	unclear	1	1	BA-116	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-117	BA-117	unclear	1	1	BA-117	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-118	BA-118	unclear	1	1	BA-118	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-121	BA-121	unclear	1	1	BA-121	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-122	BA-122	unclear	1	1	BA-122	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-124	BA-124	unclear	1	1	BA-124	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-125	BA-125	unclear	1	1	BA-125	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-127	BA-127	unclear	1	1	BA-127	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-128	BA-128	unclear	1	1	BA-128	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-130	BA-130	unclear	1	1	BA-130	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-133	BA-133	unclear	1	1	BA-133	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-135	BA 135	unclear	1	1	BA 135	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-137-138	BA-137-138	unclear	1	1	BA-137-138	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-139-140	BA-139-140	unclear	1	1	BA-139-140	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-141	BA-141	unclear	1	1	BA-141	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-142	BA-142	unclear	1	1	BA-142	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-143-144	BA-143-144	unclear	1	1	BA-143-144	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-145	BA-145	unclear	1	1	BA-145	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-146	BA-146	unclear	1	1	BA-146	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-147	BA-147	unclear	1	1	BA-147	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-149	BA-149	unclear	1	1	BA-149	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-150	BA-150	unclear	1	1	BA-150	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-151-152	BA-151-152	unclear	1	1	BA-151-152	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-153	BA-153	unclear	1	1	BA-153	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-154	BA-154	unclear	1	1	BA-154	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-156	BA-156	unclear	1	1	BA-156	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-16	BA-16	unclear	1	1	BA-16	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-162	BA-162	unclear	1	1	BA-162	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-164	BA-164	unclear	1	1	BA-164	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-165	BA-165	unclear	1	1	BA-165	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-166-167	BA-166-167	unclear	1	1	BA-166-167	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-168	BA-168	unclear	1	1	BA-168	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-169	BA-169	unclear	1	1	BA-169	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-170	BA-170	unclear	1	1	BA-170	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-174	BA-174	unclear	1	1	BA-174	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-177	BA-177	unclear	1	1	BA-177	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-179	BA-179	unclear	1	1	BA-179	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-18	BA-18	unclear	1	1	BA-18	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-183	BA-183	unclear	1	1	BA-183	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-184	BA-184	unclear	1	1	BA-184	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-185	BA-185	unclear	1	1	BA-185	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-186	BA-186	unclear	1	1	BA-186	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-187	BA-187	unclear	1	1	BA-187	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-188	BA-188	unclear	1	1	BA-188	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-189	BA-189	unclear	1	1	BA-189	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-19	BA-19	unclear	1	1	BA-19	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-190	BA-190	unclear	1	1	BA-190	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-191	BA-191	unclear	1	1	BA-191	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-192	BA-192	unclear	1	1	BA-192	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-193	BA-193	unclear	1	1	BA-193	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-194	BA-194,	unclear	1	1	BA-194,	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-195	BA-195,	unclear	1	1	BA-195,	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-197	BA-197	unclear	1	1	BA-197	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-198-199	BA-198-199	unclear	1	1	BA-198-199	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-200	BA-200	unclear	1	1	BA-200	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-202	BA-202,	unclear	1	1	BA-202,	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-209	BA-209	unclear	1	1	BA-209	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-215	BA-215	unclear	1	1	BA-215	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-217	BA-217	unclear	1	1	BA-217	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-225-226	BA-225-226	unclear	1	1	BA-225-226	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-228-582	BA-228 & 582	unclear	1	1	BA-228 & 582	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-229	BA-229	unclear	1	1	BA-229	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-244	BA-244	unclear	1	1	BA-244	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-254	BA-254	unclear	1	1	BA-254	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-27	BA-27	unclear	1	1	BA-27	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-270	BA-270	unclear	1	1	BA-270	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-271-272	BA-271-272	unclear	1	1	BA-271-272	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-273	BA-273	unclear	1	1	BA-273	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-274	BA-274	unclear	1	1	BA-274	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-28	BA-28	unclear	1	1	BA-28	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-332	BA-332	unclear	1	1	BA-332	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-34	BA-34	unclear	1	1	BA-34	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-357	BA-357	unclear	1	1	BA-357	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-36	BA-36	unclear	1	1	BA-36	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-39	BA-39	unclear	1	1	BA-39	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-395	BA-395	unclear	1	1	BA-395	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-399	BA-399,	unclear	1	1	BA-399,	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-41	BA-41	unclear	1	1	BA-41	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-419	BA-419	unclear	1	1	BA-419	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-42	BA-42	unclear	1	1	BA-42	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-428	BA-428,	unclear	1	1	BA-428,	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-43	BA-43	unclear	1	1	BA-43	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-436-1-2-3-4-5	ba 436 1 2 3 4 5	unclear	1	1	BA-436, 1-2-3-4-5-,	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-437	BA-437	unclear	1	1	BA-437	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-466	BA-466	unclear	1	1	BA-466	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-47	BA-47	unclear	1	1	BA-47	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-471	BA-471	unclear	1	1	BA-471	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-472	BA-472	unclear	1	1	BA-472	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-474	BA-474	unclear	1	1	BA-474	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-487	BA-487	unclear	1	1	BA-487	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-49	BA-49	unclear	1	1	BA-49	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-494	BA-494	unclear	1	1	BA-494	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-496	BA-496	unclear	1	1	BA-496	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-50	BA-50	unclear	1	1	BA-50	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-508	BA-508	unclear	1	1	BA-508	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-51	BA-51	unclear	1	1	BA-51	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-510	BA-510	unclear	1	1	BA-510	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-52	BA-52	unclear	1	1	BA-52	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-535	BA-535	unclear	1	1	BA-535	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-54	BA-54	unclear	1	1	BA-54	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-545	BA-545	unclear	1	1	BA-545	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-546	BA-546	unclear	1	1	BA-546	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-554	BA-554	unclear	1	1	BA-554	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-57-539	BA-57 & 539	unclear	1	1	BA-57 & 539	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-574-227	BA-574-227	unclear	1	1	BA-574-227	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-58	BA-58	unclear	1	1	BA-58	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-583	BA-583	unclear	1	1	BA-583	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-59	BA-59	unclear	1	1	BA-59	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-595	BA-595	unclear	1	1	BA-595	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-60	BA-60	unclear	1	1	BA-60	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-61	BA-61	unclear	1	1	BA-61	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-62	BA-62	unclear	1	1	BA-62	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-63	BA-63	unclear	1	1	BA-63	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-66	BA-66,	unclear	1	1	BA-66,	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-67	BA-67	unclear	1	1	BA-67	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-68	BA-68	unclear	1	1	BA-68	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-69	BA 69	unclear	1	1	BA 69	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-7	BA-7	unclear	1	1	BA-7	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-70	BA-70	unclear	1	1	BA-70	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-71	BA-71	unclear	1	1	BA-71	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-72	BA-72	unclear	1	1	BA-72	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-75	BA-75	unclear	1	1	BA-75	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-79	BA-79	unclear	1	1	BA-79	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-80	BA-80	unclear	1	1	BA-80	unknown	unreviewed	No stronger conservative family signal was detected.
