sip_inscription_unit_id	parent_witness_unit_id	sip_ref	iob_plate	detected_entry_number	linked_inscription_id	linked_corpus_record_id	unlinked_review_status	candidate_corpus_record_ids	basis	notes
sip-witness-006-seg-01	sip-witness-006	SIP 29	Plate XXXI		obi-v01-n0052	obi-v01-n0052-ob-p0083	linked_after_segmentation		Best corpus-text overlap within parent sip-witness-006.	Linked through exact corpus plate citation(s): Pl. I 31. | Extracted from SIP printed pages 29-29 using the OCR page offset observed from the scanned volume. | Detected 0 inscription heading(s) inside the parent SIP witness range. | Segmented from parent sip-witness-006.
sip-witness-007-seg-01	sip-witness-007	SIP 29-30	Plate XXXIV				no_structured_corpus_match_found		Local SIP citation evidence only.	English index-of-plates entry extracted from the OCRed volume. | Extracted from SIP printed pages 29-30 using the OCR page offset observed from the scanned volume. | Detected 1 inscription heading(s) inside the parent SIP witness range. | Segmented from parent sip-witness-007.
sip-witness-007-seg-02	sip-witness-007	SIP 29-30	Plate XXXIV	16			no_structured_corpus_match_found		Local SIP citation evidence only.	English index-of-plates entry extracted from the OCRed volume. | Extracted from SIP printed pages 29-30 using the OCR page offset observed from the scanned volume. | Detected 1 inscription heading(s) inside the parent SIP witness range. | Segmented from parent sip-witness-007.
sip-witness-008-seg-01	sip-witness-008	SIP 30-32	Plate XXXVI				no_structured_corpus_match_found		Local SIP citation evidence only.	Linked through exact corpus plate citation(s): Pl. I 36. | Extracted from SIP printed pages 30-32 using the OCR page offset observed from the scanned volume. | Detected 2 inscription heading(s) inside the parent SIP witness range. | Segmented from parent sip-witness-008.
sip-witness-008-seg-02	sip-witness-008	SIP 30-32	Plate XXXVI	16			no_structured_corpus_match_found		Local SIP citation evidence only.	Linked through exact corpus plate citation(s): Pl. I 36. | Extracted from SIP printed pages 30-32 using the OCR page offset observed from the scanned volume. | Detected 2 inscription heading(s) inside the parent SIP witness range. | Segmented from parent sip-witness-008.
sip-witness-008-seg-03	sip-witness-008	SIP 30-32	Plate XXXVI	17	obi-v01-n0062	obi-v01-n0062-ob-p0097	linked_after_segmentation		Best corpus-text overlap within parent sip-witness-008.	Linked through exact corpus plate citation(s): Pl. I 36. | Extracted from SIP printed pages 30-32 using the OCR page offset observed from the scanned volume. | Detected 2 inscription heading(s) inside the parent SIP witness range. | Segmented from parent sip-witness-008.
sip-witness-009-seg-01	sip-witness-009	SIP 39-42	Plate LXIX		obi-v01-n0135	obi-v01-n0135-ob-p0218	linked_after_segmentation		Best corpus-text overlap within parent sip-witness-009.	Linked through exact corpus plate citation(s): Pl. I 69. | Extracted from SIP printed pages 39-42 using the OCR page offset observed from the scanned volume. | Detected 0 inscription heading(s) inside the parent SIP witness range. | Segmented from parent sip-witness-009.
sip-witness-010-seg-01	sip-witness-010	SIP 35-39	Plate LXXIII				no_structured_corpus_match_found		Local SIP citation evidence only.	English index-of-plates entry extracted from the OCRed volume. | Extracted from SIP printed pages 35-39 using the OCR page offset observed from the scanned volume. | Detected 2 inscription heading(s) inside the parent SIP witness range. | Segmented from parent sip-witness-010.
sip-witness-010-seg-02	sip-witness-010	SIP 35-39	Plate LXXIII	19			no_structured_corpus_match_found		Local SIP citation evidence only.	English index-of-plates entry extracted from the OCRed volume. | Extracted from SIP printed pages 35-39 using the OCR page offset observed from the scanned volume. | Detected 2 inscription heading(s) inside the parent SIP witness range. | Segmented from parent sip-witness-010.
sip-witness-010-seg-03	sip-witness-010	SIP 35-39	Plate LXXIII	9			no_structured_corpus_match_found		Local SIP citation evidence only.	English index-of-plates entry extracted from the OCRed volume. | Extracted from SIP printed pages 35-39 using the OCR page offset observed from the scanned volume. | Detected 2 inscription heading(s) inside the parent SIP witness range. | Segmented from parent sip-witness-010.
sip-witness-011-seg-01	sip-witness-011	SIP 42-44	Plate LXXIX b				no_structured_corpus_match_found		Local SIP citation evidence only.	Linked through exact corpus plate citation(s): Pl. I 79b. | Extracted from SIP printed pages 42-44 using the OCR page offset observed from the scanned volume. | Detected 1 inscription heading(s) inside the parent SIP witness range. | Segmented from parent sip-witness-011.
sip-witness-011-seg-02	sip-witness-011	SIP 42-44	Plate LXXIX b	21	obi-v01-n0146	obi-v01-n0146-tx-p0246	linked_after_segmentation		Best corpus-text overlap within parent sip-witness-011.	Linked through exact corpus plate citation(s): Pl. I 79b. | Extracted from SIP printed pages 42-44 using the OCR page offset observed from the scanned volume. | Detected 1 inscription heading(s) inside the parent SIP witness range. | Segmented from parent sip-witness-011.
sip-witness-012-seg-01	sip-witness-012	SIP 45-47	Plate XC				no_structured_corpus_match_found		Local SIP citation evidence only.	Linked through exact corpus plate citation(s): Pl. I 90. | Extracted from SIP printed pages 45-47 using the OCR page offset observed from the scanned volume. | Detected 1 inscription heading(s) inside the parent SIP witness range. | Segmented from parent sip-witness-012.
sip-witness-012-seg-02	sip-witness-012	SIP 45-47	Plate XC	22	obi-v01-n0160	obi-v01-n0160-ob-p0267	linked_after_segmentation		Best corpus-text overlap within parent sip-witness-012.	Linked through exact corpus plate citation(s): Pl. I 90. | Extracted from SIP printed pages 45-47 using the OCR page offset observed from the scanned volume. | Detected 1 inscription heading(s) inside the parent SIP witness range. | Segmented from parent sip-witness-012.
sip-witness-013-seg-01	sip-witness-013	SIP 49	Plate XCVI				no_structured_corpus_match_found		Local SIP citation evidence only.	English index-of-plates entry extracted from the OCRed volume. | Extracted from SIP printed pages 49-49 using the OCR page offset observed from the scanned volume. | Detected 0 inscription heading(s) inside the parent SIP witness range. | Segmented from parent sip-witness-013.
sip-witness-014-seg-01	sip-witness-014	SIP 49-52	Plate XCVIII		obi-v01-n0129	obi-v01-n0129-tx-p0209	linked_after_segmentation		Best corpus-text overlap within parent sip-witness-014.	Linked through exact corpus plate citation(s): Pl. I 98. | Extracted from SIP printed pages 49-52 using the OCR page offset observed from the scanned volume. | Detected 2 inscription heading(s) inside the parent SIP witness range. | Segmented from parent sip-witness-014.
sip-witness-014-seg-02	sip-witness-014	SIP 49-52	Plate XCVIII	4			no_structured_corpus_match_found		Local SIP citation evidence only.	Linked through exact corpus plate citation(s): Pl. I 98. | Extracted from SIP printed pages 49-52 using the OCR page offset observed from the scanned volume. | Detected 2 inscription heading(s) inside the parent SIP witness range. | Segmented from parent sip-witness-014.
sip-witness-014-seg-03	sip-witness-014	SIP 49-52	Plate XCVIII	20			no_structured_corpus_match_found		Local SIP citation evidence only.	Linked through exact corpus plate citation(s): Pl. I 98. | Extracted from SIP printed pages 49-52 using the OCR page offset observed from the scanned volume. | Detected 2 inscription heading(s) inside the parent SIP witness range. | Segmented from parent sip-witness-014.
sip-witness-015-seg-01	sip-witness-015	SIP 52-55	Plate CV a				no_structured_corpus_match_found		Local SIP citation evidence only.	Linked through exact corpus plate citation(s): Pl. I 105a. | Extracted from SIP printed pages 52-55 using the OCR page offset observed from the scanned volume. | Detected 2 inscription heading(s) inside the parent SIP witness range. | Segmented from parent sip-witness-015.
sip-witness-015-seg-02	sip-witness-015	SIP 52-55	Plate CV a	20			no_structured_corpus_match_found		Local SIP citation evidence only.	Linked through exact corpus plate citation(s): Pl. I 105a. | Extracted from SIP printed pages 52-55 using the OCR page offset observed from the scanned volume. | Detected 2 inscription heading(s) inside the parent SIP witness range. | Segmented from parent sip-witness-015.
sip-witness-015-seg-03	sip-witness-015	SIP 52-55	Plate CV a	25	obi-v01-n0179	obi-v01-n0179-tx-p0306	linked_after_segmentation		Best corpus-text overlap within parent sip-witness-015.	Linked through exact corpus plate citation(s): Pl. I 105a. | Extracted from SIP printed pages 52-55 using the OCR page offset observed from the scanned volume. | Detected 2 inscription heading(s) inside the parent SIP witness range. | Segmented from parent sip-witness-015.
