work_candidate_id	family_id	provisional_short_label	author_original	author_normalized	year	title_original	title_normalized	publication_details	language	script	translation_relevance	evidence_raw_references	review_status	notes
work-mm-catalogue	fam-mm-catalogue	MM references								latin	unlikely_translation	MM 1, no. 13, p. 117 | MM 1, no. 15, p. 136 | MM 1, no. 16, p. 140	unreviewed	Grouped by recurring leading label.
work-obi-internal	fam-obi-internal	OBI internal references								latin	unlikely_translation	OBI 3, p. 2 | OBI 3, p. 1 | OBI 3, p. 3	unreviewed	Grouped by recurring leading label.
work-or-catalogue	fam-or-catalogue	OR references								latin	unlikely_translation	OR 3475, no. 4 | OR 3434 (gā: verso) | OR 3434 fol. ghā verso (with further dates)	unreviewed	Grouped by recurring leading label.
work-plate-references	fam-plate-references	Plate references								latin	unlikely_translation	Pl. II 198 | Pl. II 195b | Pl. II 201b	unreviewed	Grouped by recurring leading label.
work-ppa-catalogue	fam-ppa-catalogue	PPA references								latin	unlikely_translation	PPA, p. 55 | PPA, p. 191 | PPA, p. 155	unreviewed	Grouped by recurring leading label.
work-raw-12	fam-raw-12	12								unknown	unknown	12	unreviewed	No stronger conservative family signal was detected.
work-raw-17	fam-raw-17	17								unknown	unknown	17	unreviewed	No stronger conservative family signal was detected.
work-raw-184-bed-b-614-2	fam-raw-184-bed-b-614-2	-184 BED B 614-2								latin	unknown	-184 BED B 614-2	unreviewed	No stronger conservative family signal was detected.
work-raw-1936-37-4003-1938-39-4080	fam-raw-1936-37-4003-1938-39-4080	1936 37 4003 1938 39 4080			1936					unknown	unknown	-1936-37/ 4003, 1938-39/ 4080	unreviewed	No stronger conservative family signal was detected.
work-raw-1958-59	fam-raw-1958-59	1958-59			1958					unknown	unknown	1958-59	unreviewed	No stronger conservative family signal was detected.
work-raw-1960	fam-raw-1960	1960, p. 241			1960					latin	unknown	1960, p. 241	unreviewed	No stronger conservative family signal was detected.
work-raw-1962-63-bed-b-622-6	fam-raw-1962-63-bed-b-622-6	1962 63 bed b 622 6			1962					latin	unknown	1962-63 BED B 622-6	unreviewed	No stronger conservative family signal was detected.
work-raw-1963	fam-raw-1963	1963,			1963					unknown	unknown	1963,	unreviewed	No stronger conservative family signal was detected.
work-raw-1970-71	fam-raw-1970-71	1970-71			1970					unknown	unknown	1970-71	unreviewed	No stronger conservative family signal was detected.
work-raw-2	fam-raw-2	& 2								unknown	unknown	& 2 | -2	unreviewed	No stronger conservative family signal was detected.
work-raw-265	fam-raw-265	---265,								unknown	unknown	---265,	unreviewed	No stronger conservative family signal was detected.
work-raw-3	fam-raw-3	3 ,								unknown	unknown	3 ,	unreviewed	No stronger conservative family signal was detected.
work-raw-31-2-3	fam-raw-31-2-3	-31 . . . . . . 2 . . . . . . 3 . . . . . . . . .								unknown	unknown	-31 . . . . . . 2 . . . . . . 3 . . . . . . . . .	unreviewed	No stronger conservative family signal was detected.
work-raw-377	fam-raw-377	-377								unknown	unknown	-377	unreviewed	No stronger conservative family signal was detected.
work-raw-6	fam-raw-6	-6-,								unknown	unknown	-6-,	unreviewed	No stronger conservative family signal was detected.
work-raw-617	fam-raw-617	617								unknown	unknown	617	unreviewed	No stronger conservative family signal was detected.
work-raw-769	fam-raw-769	--769								unknown	unknown	--769	unreviewed	No stronger conservative family signal was detected.
work-raw-a	fam-raw-a	A, p. 79								latin	unknown	A, p. 79 | A, p. 101 | A, p. 103-105	unreviewed	No stronger conservative family signal was detected.
work-raw-a-and-549	fam-raw-a-and-549	A, p. 97 and 549								latin	unknown	A, p. 97 and 549	unreviewed	No stronger conservative family signal was detected.
work-raw-and-mm-4-said-to-come-from-sagaing	fam-raw-and-mm-4-said-to-come-from-sagaing	and mm 4 said to come from sagaing								latin	unknown	and MM 4, no. 47, p. 214 (said to come from Sagaing)	unreviewed	No stronger conservative family signal was detected.
work-raw-another-is-list-401	fam-raw-another-is-list-401	another copy is List 401								latin	unknown	another copy is List 401	unreviewed	No stronger conservative family signal was detected.
work-raw-another-mm-3	fam-raw-another-mm-3	another copy MM 3, no. 25, p. 107								latin	unknown	another copy MM 3, no. 25, p. 107	unreviewed	No stronger conservative family signal was detected.
work-raw-another-mm-4	fam-raw-another-mm-4	another copy MM 4, no. 20, p. 90								latin	unknown	another copy MM 4, no. 20, p. 90 | another copy MM 4, no. 9, p. 44	unreviewed	No stronger conservative family signal was detected.
work-raw-arasi-1921-22-and-pl-19a	fam-raw-arasi-1921-22-and-pl-19a	arasi 1921 22 and pl 19a			1921					latin	unknown	ARASI 1921-22, p. 35 and pl. 19a	unreviewed	No stronger conservative family signal was detected.
work-raw-arasi-1930-34	fam-raw-arasi-1930-34	ARASI 1930-34, p. 190			1930					latin	unknown	ARASI 1930-34, p. 190	unreviewed	No stronger conservative family signal was detected.
work-raw-arasi-1936-37	fam-raw-arasi-1936-37	ARASI 1936-37, p. 114			1936					latin	unknown	ARASI 1936-37, p. 114 | ARASI 1936-37, p. 115 | ARASI 1936-37, p. 116	unreviewed	No stronger conservative family signal was detected.
work-raw-arasi-1936-7-u-min-hswe	fam-raw-arasi-1936-7-u-min-hswe	arasi 1936 7 u min hswe			1936					latin	unknown	ARASI 1936-7, p. 114, U Min Hswe, no. 11	unreviewed	No stronger conservative family signal was detected.
work-raw-aung-thwin-ceylonese-burmese-relations-jss-1976	fam-raw-aung-thwin-ceylonese-burmese-relations-jss-1976	aung thwin ceylonese burmese relations jss 1976	Aung-Thwin	aung-thwin	1976	Ceylonese-Burmese Relations, JSS 1976	ceylonese burmese relations jss 1976			latin	unknown	Aung-Thwin, Ceylonese-Burmese Relations, JSS 1976, p. 53-74	unreviewed	No stronger conservative family signal was detected.
work-raw-b-1	fam-raw-b-1	B 1, p. 420								latin	unknown	B 1, p. 420 | B 1, p. 428	unreviewed	No stronger conservative family signal was detected.
work-raw-b-2	fam-raw-b-2	B 2, p. 815								latin	unknown	B 2, p. 815 | B 2, p. 830 | B 2 p. 747	unreviewed	No stronger conservative family signal was detected.
work-raw-b-2-dated-cs-636-1274-and-list-453-second-inscr	fam-raw-b-2-dated-cs-636-1274-and-list-453-second-inscr	b 2 dated cs 636 1274 and list 453 second inscr								latin	unknown	B 2, p. 819 (dated CS 636/ 1274) and List 453 (second inscr…	unreviewed	No stronger conservative family signal was detected.
work-raw-b-2-dated-cs-676-1314	fam-raw-b-2-dated-cs-676-1314	b 2 dated cs 676 1314								latin	unknown	B 2, p. 827 (dated CS 676/1314)	unreviewed	No stronger conservative family signal was detected.
work-raw-b-2-first-inscr	fam-raw-b-2-first-inscr	B 2, p. 819 (first inscr.)								latin	unknown	B 2, p. 819 (first inscr.)	unreviewed	No stronger conservative family signal was detected.
work-raw-b-2-first-part	fam-raw-b-2-first-part	B 2, p. 665 (first part)								latin	unknown	B 2, p. 665 (first part)	unreviewed	No stronger conservative family signal was detected.
work-raw-b-2-mm	fam-raw-b-2-mm	B 2, p. 796 (MM)								latin	unknown	B 2, p. 796 (MM)	unreviewed	No stronger conservative family signal was detected.
work-raw-b-28	fam-raw-b-28	/b+ 28								latin	unknown	/b+ 28	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-1-9	fam-raw-ba-1-9	BA 1, 9								latin	unknown	BA 1, 9	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-10	fam-raw-ba-10	BA-10								latin	unknown	BA-10	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-101	fam-raw-ba-101	BA-101								latin	unknown	BA-101	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-103	fam-raw-ba-103	BA-103								latin	unknown	BA-103	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-105	fam-raw-ba-105	BA-105								latin	unknown	BA-105	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-106	fam-raw-ba-106	BA-106,								latin	unknown	BA-106,	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-107	fam-raw-ba-107	BA 107								latin	unknown	BA 107	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-109-157	fam-raw-ba-109-157	BA-109, 157								latin	unknown	BA-109, 157	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-11	fam-raw-ba-11	BA-11								latin	unknown	BA-11	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-110	fam-raw-ba-110	BA-110								latin	unknown	BA-110	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-111	fam-raw-ba-111	BA-111								latin	unknown	BA-111	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-112	fam-raw-ba-112	BA 112								latin	unknown	BA 112	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-113	fam-raw-ba-113	BA-113,								latin	unknown	BA-113,	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-114	fam-raw-ba-114	BA-114								latin	unknown	BA-114	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-115	fam-raw-ba-115	BA-115								latin	unknown	BA-115	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-116	fam-raw-ba-116	BA-116								latin	unknown	BA-116	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-117	fam-raw-ba-117	BA-117								latin	unknown	BA-117	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-118	fam-raw-ba-118	BA-118								latin	unknown	BA-118	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-121	fam-raw-ba-121	BA-121								latin	unknown	BA-121	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-122	fam-raw-ba-122	BA-122								latin	unknown	BA-122	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-124	fam-raw-ba-124	BA-124								latin	unknown	BA-124	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-125	fam-raw-ba-125	BA-125								latin	unknown	BA-125	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-127	fam-raw-ba-127	BA-127								latin	unknown	BA-127	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-128	fam-raw-ba-128	BA-128								latin	unknown	BA-128	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-130	fam-raw-ba-130	BA-130								latin	unknown	BA-130	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-133	fam-raw-ba-133	BA-133								latin	unknown	BA-133	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-135	fam-raw-ba-135	BA 135								latin	unknown	BA 135	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-137-138	fam-raw-ba-137-138	BA-137-138								latin	unknown	BA-137-138	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-139-140	fam-raw-ba-139-140	BA-139-140								latin	unknown	BA-139-140	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-141	fam-raw-ba-141	BA-141								latin	unknown	BA-141	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-142	fam-raw-ba-142	BA-142								latin	unknown	BA-142	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-143-144	fam-raw-ba-143-144	BA-143-144								latin	unknown	BA-143-144	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-145	fam-raw-ba-145	BA-145								latin	unknown	BA-145	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-146	fam-raw-ba-146	BA-146								latin	unknown	BA-146	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-147	fam-raw-ba-147	BA-147								latin	unknown	BA-147	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-149	fam-raw-ba-149	BA-149								latin	unknown	BA-149	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-150	fam-raw-ba-150	BA-150								latin	unknown	BA-150	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-151-152	fam-raw-ba-151-152	BA-151-152								latin	unknown	BA-151-152	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-153	fam-raw-ba-153	BA-153								latin	unknown	BA-153	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-154	fam-raw-ba-154	BA-154								latin	unknown	BA-154	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-156	fam-raw-ba-156	BA-156								latin	unknown	BA-156	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-16	fam-raw-ba-16	BA-16								latin	unknown	BA-16	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-162	fam-raw-ba-162	BA-162								latin	unknown	BA-162	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-164	fam-raw-ba-164	BA-164								latin	unknown	BA-164	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-165	fam-raw-ba-165	BA-165								latin	unknown	BA-165	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-166-167	fam-raw-ba-166-167	BA-166-167								latin	unknown	BA-166-167	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-168	fam-raw-ba-168	BA-168								latin	unknown	BA-168	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-169	fam-raw-ba-169	BA-169								latin	unknown	BA-169	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-170	fam-raw-ba-170	BA-170								latin	unknown	BA-170	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-174	fam-raw-ba-174	BA-174								latin	unknown	BA-174	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-177	fam-raw-ba-177	BA-177								latin	unknown	BA-177	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-179	fam-raw-ba-179	BA-179								latin	unknown	BA-179	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-18	fam-raw-ba-18	BA-18								latin	unknown	BA-18	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-183	fam-raw-ba-183	BA-183								latin	unknown	BA-183	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-184	fam-raw-ba-184	BA-184								latin	unknown	BA-184	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-185	fam-raw-ba-185	BA-185								latin	unknown	BA-185	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-186	fam-raw-ba-186	BA-186								latin	unknown	BA-186	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-187	fam-raw-ba-187	BA-187								latin	unknown	BA-187	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-188	fam-raw-ba-188	BA-188								latin	unknown	BA-188	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-189	fam-raw-ba-189	BA-189								latin	unknown	BA-189	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-19	fam-raw-ba-19	BA-19								latin	unknown	BA-19	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-190	fam-raw-ba-190	BA-190								latin	unknown	BA-190	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-191	fam-raw-ba-191	BA-191								latin	unknown	BA-191	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-192	fam-raw-ba-192	BA-192								latin	unknown	BA-192	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-193	fam-raw-ba-193	BA-193								latin	unknown	BA-193	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-194	fam-raw-ba-194	BA-194,								latin	unknown	BA-194,	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-195	fam-raw-ba-195	BA-195,								latin	unknown	BA-195,	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-197	fam-raw-ba-197	BA-197								latin	unknown	BA-197	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-198-199	fam-raw-ba-198-199	BA-198-199								latin	unknown	BA-198-199	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-200	fam-raw-ba-200	BA-200								latin	unknown	BA-200	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-202	fam-raw-ba-202	BA-202,								latin	unknown	BA-202,	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-209	fam-raw-ba-209	BA-209								latin	unknown	BA-209	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-215	fam-raw-ba-215	BA-215								latin	unknown	BA-215	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-217	fam-raw-ba-217	BA-217								latin	unknown	BA-217	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-225-226	fam-raw-ba-225-226	BA-225-226								latin	unknown	BA-225-226	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-228-582	fam-raw-ba-228-582	BA-228 & 582								latin	unknown	BA-228 & 582	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-229	fam-raw-ba-229	BA-229								latin	unknown	BA-229	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-244	fam-raw-ba-244	BA-244								latin	unknown	BA-244	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-254	fam-raw-ba-254	BA-254								latin	unknown	BA-254	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-27	fam-raw-ba-27	BA-27								latin	unknown	BA-27	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-270	fam-raw-ba-270	BA-270								latin	unknown	BA-270	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-271-272	fam-raw-ba-271-272	BA-271-272								latin	unknown	BA-271-272	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-273	fam-raw-ba-273	BA-273								latin	unknown	BA-273	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-274	fam-raw-ba-274	BA-274								latin	unknown	BA-274	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-28	fam-raw-ba-28	BA-28								latin	unknown	BA-28	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-332	fam-raw-ba-332	BA-332								latin	unknown	BA-332	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-34	fam-raw-ba-34	BA-34								latin	unknown	BA-34	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-357	fam-raw-ba-357	BA-357								latin	unknown	BA-357	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-36	fam-raw-ba-36	BA-36								latin	unknown	BA-36	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-39	fam-raw-ba-39	BA-39								latin	unknown	BA-39	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-395	fam-raw-ba-395	BA-395								latin	unknown	BA-395	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-399	fam-raw-ba-399	BA-399,								latin	unknown	BA-399,	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-41	fam-raw-ba-41	BA-41								latin	unknown	BA-41	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-419	fam-raw-ba-419	BA-419								latin	unknown	BA-419	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-42	fam-raw-ba-42	BA-42								latin	unknown	BA-42	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-428	fam-raw-ba-428	BA-428,								latin	unknown	BA-428,	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-43	fam-raw-ba-43	BA-43								latin	unknown	BA-43	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-436-1-2-3-4-5	fam-raw-ba-436-1-2-3-4-5	ba 436 1 2 3 4 5								latin	unknown	BA-436, 1-2-3-4-5-,	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-437	fam-raw-ba-437	BA-437								latin	unknown	BA-437	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-466	fam-raw-ba-466	BA-466								latin	unknown	BA-466	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-47	fam-raw-ba-47	BA-47								latin	unknown	BA-47	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-471	fam-raw-ba-471	BA-471								latin	unknown	BA-471	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-472	fam-raw-ba-472	BA-472								latin	unknown	BA-472	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-474	fam-raw-ba-474	BA-474								latin	unknown	BA-474	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-487	fam-raw-ba-487	BA-487								latin	unknown	BA-487	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-49	fam-raw-ba-49	BA-49								latin	unknown	BA-49	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-494	fam-raw-ba-494	BA-494								latin	unknown	BA-494	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-496	fam-raw-ba-496	BA-496								latin	unknown	BA-496	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-50	fam-raw-ba-50	BA-50								latin	unknown	BA-50	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-508	fam-raw-ba-508	BA-508								latin	unknown	BA-508	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-51	fam-raw-ba-51	BA-51								latin	unknown	BA-51	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-510	fam-raw-ba-510	BA-510								latin	unknown	BA-510	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-52	fam-raw-ba-52	BA-52								latin	unknown	BA-52	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-535	fam-raw-ba-535	BA-535								latin	unknown	BA-535	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-54	fam-raw-ba-54	BA-54								latin	unknown	BA-54	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-545	fam-raw-ba-545	BA-545								latin	unknown	BA-545	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-546	fam-raw-ba-546	BA-546								latin	unknown	BA-546	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-55-56	fam-raw-ba-55-56	BA-55 & 56								latin	unknown	BA-55 & 56	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-554	fam-raw-ba-554	BA-554								latin	unknown	BA-554	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-57-539	fam-raw-ba-57-539	BA-57 & 539								latin	unknown	BA-57 & 539	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-574-227	fam-raw-ba-574-227	BA-574-227								latin	unknown	BA-574-227	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-58	fam-raw-ba-58	BA-58								latin	unknown	BA-58	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-583	fam-raw-ba-583	BA-583								latin	unknown	BA-583	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-59	fam-raw-ba-59	BA-59								latin	unknown	BA-59	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-595	fam-raw-ba-595	BA-595								latin	unknown	BA-595	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-60	fam-raw-ba-60	BA-60								latin	unknown	BA-60	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-61	fam-raw-ba-61	BA-61								latin	unknown	BA-61	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-62	fam-raw-ba-62	BA-62								latin	unknown	BA-62	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-63	fam-raw-ba-63	BA-63								latin	unknown	BA-63	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-66	fam-raw-ba-66	BA-66,								latin	unknown	BA-66,	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-67	fam-raw-ba-67	BA-67								latin	unknown	BA-67	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-68	fam-raw-ba-68	BA-68								latin	unknown	BA-68	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-69	fam-raw-ba-69	BA 69								latin	unknown	BA 69	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-7	fam-raw-ba-7	BA-7								latin	unknown	BA-7	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-70	fam-raw-ba-70	BA-70								latin	unknown	BA-70	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-71	fam-raw-ba-71	BA-71								latin	unknown	BA-71	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-72	fam-raw-ba-72	BA-72								latin	unknown	BA-72	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-75	fam-raw-ba-75	BA-75								latin	unknown	BA-75	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-79	fam-raw-ba-79	BA-79								latin	unknown	BA-79	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-80	fam-raw-ba-80	BA-80								latin	unknown	BA-80	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-81	fam-raw-ba-81	BA-81								latin	unknown	BA-81	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-82	fam-raw-ba-82	BA-82								latin	unknown	BA-82	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-83	fam-raw-ba-83	BA-83								latin	unknown	BA-83	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-85	fam-raw-ba-85	BA-85								latin	unknown	BA-85	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-86	fam-raw-ba-86	BA-86								latin	unknown	BA-86	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-88	fam-raw-ba-88	BA-88								latin	unknown	BA-88	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-89	fam-raw-ba-89	BA-89								latin	unknown	BA-89	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-90	fam-raw-ba-90	BA-90								latin	unknown	BA-90	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-93	fam-raw-ba-93	BA-93								latin	unknown	BA-93	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-97-492	fam-raw-ba-97-492	BA-97 & 492								latin	unknown	BA-97 & 492	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-98	fam-raw-ba-98	BA-98								latin	unknown	BA-98	unreviewed	No stronger conservative family signal was detected.
work-raw-ba-99	fam-raw-ba-99	BA-99								latin	unknown	BA-99	unreviewed	No stronger conservative family signal was detected.
