source_work_key	canonical_title	short_title	work_type	authors_editors	date_or_date_range	publisher_or_institution	place	related_source_family_ids	related_acronyms	authority_status	evidence_source	evidence_quote	bibtex_key	needs_human_review	notes
mmSourceFamily	MM source family	MM	source_catalogue					sf-mm	MM	provisional_local_source	Frasch 2018 Myanmar Epigraphy.pdf	MM = Middle Mon	mmSourceFamily	true	Do not force a local-file match without stronger evidence.
obiCorpusSource	Old Burmese Inscriptions structured corpus	OBI	source_work	Tilman Frasch						confirmed_local_source	local_burma_folder	Bibliographic information vol 1 and 2	obiCorpusSource	false	Treat OBI as the structured corpus source family, not a machine stub.
oldBurmeseInscriptions	Old Burmese Inscriptions	OBI	corpus_source	Tilman Frasch				sf-obi	OBI	internal_corpus_source	Frasch 2004 Measuring Burmese Soil.pdf	OBI = Old Burmese Inscriptions	obiCorpusSource	false	Structured corpus authority for OBI internal references. Treat OBI as the structured corpus source family, not a machine stub.
ppaCatalogue	Inscriptions of Pagan, Pinya and Ava	PPA	source_catalogue	Archaeological Survey of Burma (ed.)		Archaeological Survey of Burma	Rangoon	sf-ppa; sf-ippa	PPA; IPPA	provisional_source_work	Frasch-1996-Pagan-MachineEnglishTranslation-OLD-VERSION.pdf	Inscriptions of Pagan, Pinya and Ava (PPA)	ppaCatalogue	true	Canonical PPA work; IPPA is treated only as an alias/variant locator family into this source work. Keep as a provisional local-source-backed catalogue family.
rayTheravadaBuddhism	Theravada Buddhism	Theravada Buddhism	book	Ray						provisional_local_source	frasch_bibliography	Ray, Theravada Buddhism, p. 106	rayTheravadaBuddhism	true	Shorthand Frasch citations identify the work, but fuller publication metadata still needs local confirmation.
rdasbSourceFamily	Report of the Director, Archaeological Survey of Burma	RDASB	periodical					sf-rdasb	RDASB	provisional_publication	frasch_bagan_epig_database_abbreviations.tsv	RDASB | Report of Director Arch. Survey Burma	rdasbSourceFamily	true	Use locators for year and page pending issue-level review.
sipSelectionsPagan	Selections from the Inscriptions of Pagan	SIP	book	Pe Maung Tin and G. H. Luce				sf-sip	SIP	provisional_source_work	Luce 1981 comparative wordlist.pdf	SIP = Pe Maung Tin and G. H. Luce, Selections from the Inscriptions of Pagan	sipSourceFamily	true	SIP is a named source work with locator semantics rather than a standalone raw-string expansion target. Keep provisional pending fuller identification.
tnInscriptionsPaganPinyaAva	Inscriptions of Pagan, Pinya and Ava	TN	book	U Tun Nyein (tr.)	1897		Rangoon	sf-tn	TN	provisional_source_work	frasch_extracted_text.txt	TN U Tun Nyein (tr.), Inscriptions of Pagan, Pinya and Ava, Rangoon 1897	uTunNyein1897inscriptionsPaganPinyaAva	true	TN is modeled as a source work with page locators. Keep provisional until the precise Than Tun source work is pinned down.
uKyawBaganMinsa	Bagan Minsa	Bagan Minsa	article	U Kyaw						provisional_local_source	frasch_bibliography	U Kyaw, Bagan Minsa, p. 187	uKyawBaganMinsa	true	Promoted from repeated Frasch shorthand citations pending fuller publication details.
uMinHsweSourceFamily	U Min Hswe source family	U Min Hswe	source_catalogue	U Min Hswe				sf-u-min-hswe	U Min Hswe	provisional_local_source	frasch_bibliography	U Min Hswe, ??	uMinHsweSourceFamily	true	Still needs bibliographic normalization beyond the named catalogue marker.
uPeMaungTin1966myazediInscription	The Myazedi Inscription	Myazedi Inscription	article	U Pe Maung Tin	1966					provisional_local_source	local_burma_folder	MyazediInscription	uPeMaungTin1966myazediInscription	true	Matched to a likely local witness; edition details still need confirmation.
uThaMyat1958paliVersionMyazedi	The Pali Version of the Myazedi Inscription	Myazedi Inscription	book	U Tha Myat	1958					provisional_local_source	frasch_bibliography	U Tha Myat, The Pali Ver- sion of the Myazedi Inscription, Rangoon 1958	uThaMyat1958paliVersionMyazedi	true	Attested as a full citation in Frasch bibliography evidence; local file confirmation is still pending.
ubSourceFamily	Inscriptions Collected in Upper Burma	UB	source_catalogue			Archaeological Survey of Burma		sf-ub	UB	provisional_source_work	Frasch-1996-Pagan-MachineEnglishTranslation-OLD-VERSION.pdf	Inscriptions Collected in Upper Burma (UB 1, UB 2)	ubSourceFamily	true	Stable source-work layer for UB volume/page locators. UB references are preserved as a stable source-family abbreviation with locators.
uemSelectionsPagan	Selections from the Inscriptions of Pagan	UEM	book	U E Maung (ed.)	1958		Rangoon	sf-uem	UEM	provisional_source_work	frasch_extracted_text.txt	UEM U E Maung (ed.), Selections from the Inscriptions of Pagan, Rangoon 1958	uEMaung1958selectionsInscriptionsPagan	true	UEM is modeled as a source work with inscription-number and page locators. Keep provisional until the full work title is recovered.
